Year,Month,Segment,Sub-Segment,Category,Subcategory,Tag,Amount,Quarter,Difference,Difference YTD Budget
2025,January,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5569067364,Q1,,
2025,January,Mitra,VP 3P Mitra,COGS,COGS,Actual,-9016216,Q1,,
2025,January,Mitra,VP 3P Mitra,GP,GP,Actual,5560051148,Q1,,
2025,January,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1681460863,Q1,,
2025,January,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0,Q1,,
2025,January,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0,Q1,,
2025,January,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,508572,Q1,,
2025,January,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0,Q1,,
2025,January,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0,Q1,,
2025,January,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0,Q1,,
2025,January,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,0,Q1,,
2025,January,Mitra,VP 3P Mitra,,Total S&M,Actual,-1680952291,Q1,,
2025,January,Mitra,VP 3P Mitra,,CM,Actual,3879098857,Q1,,
2025,January,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0,Q1,,
2025,January,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-71137142,Q1,,
2025,January,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,5605559,Q1,,
2025,January,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,22046189,Q1,,
2025,January,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0,Q1,,
2025,January,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-916667,Q1,,
2025,January,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0,Q1,,
2025,January,Mitra,VP 3P Mitra,,Other income/(expenses),Actual,-748138,Q1,,
2025,January,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-45150199,Q1,,
2025,January,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,3833948658,Q1,,
2025,January,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,3833948658,Q1,,
2025,February,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,5315044261,Q1,,
2025,February,Mitra,VP 3P Mitra,COGS,COGS,Actual,0,Q1,,
2025,February,Mitra,VP 3P Mitra,GP,GP,Actual,5315044261,Q1,,
2025,February,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-1249209808,Q1,,
2025,February,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0,Q1,,
2025,February,Mitra,VP 3P Mitra,SM,S&M - Online,Actual,0,Q1,,
2025,February,Mitra,VP 3P Mitra,SM,S&M - Others,Actual,1945,Q1,,
2025,February,Mitra,VP 3P Mitra,SM,S&M - Others (FD & SS Cashback),Actual,0,Q1,,
2025,February,Mitra,VP 3P Mitra,SM,S&M - Payment Channel,Actual,0,Q1,,
2025,February,Mitra,VP 3P Mitra,SM,S&M - PCV,Actual,0,Q1,,
2025,February,Mitra,VP 3P Mitra,SM,S&M - Distribution Cost,Actual,0,Q1,,
2025,February,Mitra,VP 3P Mitra,,Total S&M,Actual,-1249207863,Q1,,
2025,February,Mitra,VP 3P Mitra,,CM,Actual,4065836398,Q1,,
2025,February,Mitra,VP 3P Mitra,GA,G&A - Staff Cost,Actual,0,Q1,,
2025,February,Mitra,VP 3P Mitra,GA,G&A - Other staff cost,Actual,-51822652,Q1,,
2025,February,Mitra,VP 3P Mitra,GA,G&A - Facility Management and Travelling,Actual,-5865719,Q1,,
2025,February,Mitra,VP 3P Mitra,GA,G&A - Consultancy cost,Actual,0,Q1,,
2025,February,Mitra,VP 3P Mitra,GA,G&A - Corporate Action (Adj. Total),Actual,0,Q1,,
2025,February,Mitra,VP 3P Mitra,GA,G&A - IT Cost,Actual,-7583334,Q1,,
2025,February,Mitra,VP 3P Mitra,GA,G&A - Depreciation,Actual,0,Q1,,
2025,February,Mitra,VP 3P Mitra,,Other income/(expenses),Actual,-199000,Q1,,
2025,February,Mitra,VP 3P Mitra,,Total G&A (Include Depre + Others),Actual,-65470705,Q1,,
2025,February,Mitra,VP 3P Mitra,EBIT,EBIT,Actual,4000365693,Q1,,
2025,February,Mitra,VP 3P Mitra,EBITDA,EBITDA,Actual,4000365693,Q1,,
2025,March,Mitra,VP 3P Mitra,Revenue,Revenue,Actual,6146187197,Q1,,
2025,March,Mitra,VP 3P Mitra,COGS,COGS,Actual,0,Q1,,
2025,March,Mitra,VP 3P Mitra,GP,GP,Actual,6146187197,Q1,,
2025,March,Mitra,VP 3P Mitra,SM,S&M - O2O,Actual,-2332381282,Q1,,
2025,March,Mitra,VP 3P Mitra,SM,S&M - Offline,Actual,0,Q1,,
